,Movie,Director,Running time,Actor 1,Genre,Budget,Box Office,Earnings,Oscar and Golden Globes awards,Release year,IMDb score
207,Dracula Untold,Gary Shore,92,Dominic Cooper,Action,70000000,217000000,147000000,0.0,2014,6.3
208,Drag Me to Hell,Sam Raimi,99,Bojana Novakovic,Horror,30000000,90000000,60000000,0.0,2009,6.6
209,Dragon Blade,Daniel Lee,103,Si Won Choi,Action,65000000,128000000,63000000,0.0,2015,6.1
210,Dragon Nest: Warriors' Dawn,Yuefeng Song,88,Blythe Auffarth,Animation,22000000,10000000,-12000000,0.0,2014,6.4
211,Dragonball: Evolution,James Wong,100,Ian Whyte,Action,45000000,58000000,13000000,0.0,2009,2.7
212,Dragonfly,Tom Shadyac,104,Joe Morton,Drama,60000000,54000000,-6000000,0.0,2002,6.1
213,Dream House,Jim Sheridan,84,Naomi Watts,Drama,55000000,38300000,-16700000,0.0,2011,6.0
214,Dreamcatcher,Lawrence Kasdan,136,Morgan Freeman,Thriller,68000000,77000000,9000000,0.0,2003,5.5
215,Dreamer: Inspired by a True Story,John Gatins,98,Ken Howard,Drama,32000000,12000000,-20000000,0.0,2005,6.9
216,Dredd,Pete Travis,95,Wood Harris,Sci-Fi,35000000,41000000,6000000,0.0,2012,7.1
217,Dredd,Pete Travis,95,Wood Harris,Sci-Fi,35000000,41000000,6000000,0.0,2012,7.1
218,Drillbit Taylor,Steven Brill,102,Lisa Ann Walter,Comedy,40000000,68000000,28000000,0.0,2008,5.7
219,Drive Angry,Patrick Lussier,104,Nicolas Cage,Action,50000000,29000000,-21000000,0.0,2011,5.5
220,Driven,Renny Harlin,116,Sylvester Stallone,Action,72000000,54000000,-18000000,0.0,2001,4.5
221,Due Date,Todd Phillips,95,Robert Downey Jr.,Comedy,65000000,97000000,32000000,0.0,2010,6.6
222,Dumb and Dumber To,Bobby Farrelly,109,Bill Murray,Comedy,35000000,169000000,134000000,0.0,2014,5.7
223,Dumb and Dumberer: When Harry Met Lloyd,Troy Miller,85,Elden Henson,Comedy,19000000,26000000,7000000,0.0,2003,3.4
224,Duplex,Danny DeVito,89,Justin Theroux,Comedy,40000000,32000000,-8000000,0.0,2003,5.8
225,Duplicity,Tony Gilroy,125,Julia Roberts,Comedy,60000000,40000000,-20000000,0.0,2009,6.2
226,Dwegons and Leprechauns,Tom Walsh,98,Joey D. Vieira,Animation,20000000,1000000,-19000000,0.0,2014,4.8
227,Eagle Eye,D.J. Caruso,118,Rosario Dawson,Action,80000000,178000000,98000000,0.0,2008,6.6
228,Easy A,Will Gluck,92,Emma Stone,Comedy,8000000,76000000,68000000,0.0,2010,7.1
229,Edge of Darkness,Martin Campbell,117,Bojana Novakovic,Crime,80000000,47000000,-33000000,0.0,2010,6.6
230,Edge of Tomorrow,Doug Liman,113,Tom Cruise,Action,178000000,370000000,192000000,0.0,2014,7.9
231,Eight Below,Frank Marshall,120,Paul Walker,Adventure,40000000,120000000,80000000,0.0,2006,7.3
232,Elektra,Rob Bowman,100,Jennifer Garner,Action,43000000,56000000,13000000,0.0,2005,4.8
233,Elf,Jon Favreau,97,Peter Dinklage,Comedy,33000000,220000000,187000000,0.0,2003,6.9
234,Elizabethtown,Cameron Crowe,123,Orlando Bloom,Comedy,57000000,74200000,17200000,0.0,2005,6.4
235,Ella Enchanted,Tommy O'Haver,96,Anne Hathaway,Comedy,35000000,27000000,-8000000,0.0,2004,6.3
236,Elysium,Neill Blomkamp,109,Matt Damon,Action,115000000,286000000,171000000,0.0,2013,6.6
237,Ender's Game,Gavin Hood,114,Harrison Ford,Sci-Fi,110000000,125000000,15000000,0.0,2013,6.7
238,Enemy at the Gates,Jean-Jacques Annaud,131,Bob Hoskins,Drama,68000000,97000000,29000000,0.0,2001,7.6
239,Enough,Michael Apted,115,Bill Cobbs,Crime,38000000,45000000,7000000,0.0,2002,5.6
240,Epic,Chris Wedge,102,Josh Hutcherson,Animation,100000000,268000000,168000000,0.0,2013,6.7
